;Human_presence;Agricultural_landuse;Resistance;Speed_of_Recovery;Amplification
Periandra_mediterranea;0.355301439502586;0.77951464470982;-0.176872435622324;0.319703427304028;1.43228518675879
Miconia_albicans;0.355301439502586;0.77951464470982;-1.62680928982851;0.117990625267796;9.00163524845771
Rourea_induta;0.355301439502586;0.77951464470982;-0.172211546016977;0.0338244635991232;1.94082469551628
Rourea_induta_2;0.355301439502586;0.77951464470982;-0.237439047157494;0.15790139192398;1.12218721295114
Myrsine_guianensis;0.355301439502586;0.77951464470982;-0.651740115651642;0.0692960520029377;3.41594367215455
Roupala_montana;0.355301439502586;0.77951464470982;-0.238361849592802;0.0658484463990635;3.02884910181694
Swietenia_macrophylla;-0.878457031965877;-0.43625587040945;-1.0566865745174;0.0445643829101966;3.72073754909988
Geonoma_schottiana;0.585575611334773;0.929328627515914;-0.378517707201346;0.1481183761797;5.24681426873449
Parkinsonia_aculeata;0.82287219911526;0.612004008450398;-2.61134756653985;0.31109674507994;8.62542247172992
Ptychosperma_macarthurii;9.41166503216293;-5.74126995017461;-0.236935387831189;0.0997343830979794;0.344272592898549
Heliconia_metallica;-0.860494962303677;-0.630677074501652;-0.0860304010202669;0.6895392588061;0.0655283612573959
Heliconia_metallica_2;-0.860494962303677;-0.630677074501652;-0.439173811976143;0.792790349027685;0.302100937462498
Heliconia_metallica_3;-0.860494962303677;-0.630677074501652;-0.0352855999243138;0.520861861766123;0.0657794103262657
Heliconia_metallica_4;-0.860494962303677;-0.630677074501652;-0.241833002013145;0.394840653065675;0.0496292472258389
Bertholletia_excelsa;-0.148684521056044;-0.0200806956776862;-0.620244653478695;0.0147863742875736;3.97656406928825
Bertholletia_excelsa_2;-0.148684521056044;-0.0200806956776862;-0.35141439614033;0.0149963063536423;2.494620021695
Bertholletia_excelsa_3;-0.815934343868543;-0.38757725329986;-0.61217489472151;0.0191290002884145;2.85902806946983
Bertholletia_excelsa_4;-0.815934343868543;-0.38757725329986;-0.818216194266273;0.0106507818874709;2.56030564045899
Himatanthus_drasticus;1.69408399769704;2.51547278998527;-2.0781436769937;0.238384865092174;2.16745677167455
Himatanthus_drasticus_2;1.69408399769704;2.51547278998527;-1.95705607461268;0.240541004533174;1.40308006167253
Himatanthus_drasticus_3;1.69408399769704;2.51547278998527;-2.01663606433129;0.302633121876082;1.77942270763154
